id,label,type,title,experiment_id,objective,hypothesis,conclusion,key_findings,limitations,slurry_id,role,name,category,chemical_formula,text_value,numeric_value,unit,condition,properties,step_type,metric_type,method,comparison_baseline,trend
Material_fe070cf7da30,Material,entity,,,,,,,,,,N-Methyl-2-pyrrolidone,Solvent,C5H9NO,,,,,[],,,,,
ComponentAmount_c431b26dea83,ComponentAmount,entity,,,,,,,,,,Volume Fraction,,,,80.0,vol%,,,,,,,
Property_c7fc5935e7c1,Property,entity,,,,,,,,,,Viscosity,,,,1.0,Pa.s,at 50 1/s shear rate,,,,,,
Property_d88386a0480e,Property,entity,,,,,,,,,,Viscosity,,,,10.8,Pa.s,at 50 1/s shear rate,,,,,,
Property_daf0531e88d5,Property,entity,,,,,,,,,,Viscosity,,,,3.6,Pa.s,at 50 1/s shear rate,,,,,,
Property_947c06a6d86c,Property,entity,,,,,,,,,,Viscosity,,,,1.9,Pa.s,at 50 1/s shear rate,,,,,,
Property_1e8f6d076b6e,Property,entity,,,,,,,,,,Viscosity,,,,6.2,Pa.s,at 50 1/s shear rate,,,,,,
ProcessStep_80b7b459ad4b,ProcessStep,entity,,,,,,,,,,High-speed dry mixing,,,,,,,,Mixing,,,,
Parameter_1a3c3f0ae7a2,Parameter,entity,,,,,,,,,,Speed,,,,2800.0,RPM,,,,,,,
Parameter_9a769df0ff0e,Parameter,entity,,,,,,,,,,Duration,,,,10.0,min,,,,,,,
ProcessStep_9629b65e85d3,ProcessStep,entity,,,,,,,,,,Vacuum equipped dissolver mixing,,,,,,,,Mixing,,,,
Parameter_a1440d9889c8,Parameter,entity,,,,,,,,,,Speed,,,,2000.0,RPM,,,,,,,
Parameter_44a26cd106c6,Parameter,entity,,,,,,,,,,Duration,,,,30.0,min,,,,,,,
EvaluationResult_5a31c5f8ed13,EvaluationResult,entity,,,,,,,,,,,,,,,,,,,Viscosity,"Rheometer (MCR 300, Paar Physica, Austria) with a plate-plate geometry (PP50, gap 1 mm) at a temperature of 25°C",,Increasing
EvaluationMetric_c7fc5935e7c1,EvaluationMetric,entity,,,,,,,,,,Viscosity,,,,1.0,Pa.s,at 50 1/s shear rate,,,,,,
EvaluationResult_f104f3ea6cd9,EvaluationResult,entity,,,,,,,,,,,,,,,,,,,Viscosity,"Rheometer (MCR 300, Paar Physica, Austria) with a plate-plate geometry (PP50, gap 1 mm) at a temperature of 25°C",,Increasing
EvaluationMetric_d88386a0480e,EvaluationMetric,entity,,,,,,,,,,Viscosity,,,,10.8,Pa.s,at 50 1/s shear rate,,,,,,
EvaluationResult_6aef49030442,EvaluationResult,entity,,,,,,,,,,,,,,,,,,,Viscosity,"Rheometer (MCR 300, Paar Physica, Austria) with a plate-plate geometry (PP50, gap 1 mm) at a temperature of 25°C",,Increasing
EvaluationMetric_daf0531e88d5,EvaluationMetric,entity,,,,,,,,,,Viscosity,,,,3.6,Pa.s,at 50 1/s shear rate,,,,,,
EvaluationResult_76939dc1fdae,EvaluationResult,entity,,,,,,,,,,,,,,,,,,,Viscosity,"Rheometer (MCR 300, Paar Physica, Austria) with a plate-plate geometry (PP50, gap 1 mm) at a temperature of 25°C",,Increasing
EvaluationMetric_947c06a6d86c,EvaluationMetric,entity,,,,,,,,,,Viscosity,,,,1.9,Pa.s,at 50 1/s shear rate,,,,,,
EvaluationResult_a736574e3563,EvaluationResult,entity,,,,,,,,,,,,,,,,,,,Viscosity,"Rheometer (MCR 300, Paar Physica, Austria) with a plate-plate geometry (PP50, gap 1 mm) at a temperature of 25°C",,Increasing
EvaluationMetric_1e8f6d076b6e,EvaluationMetric,entity,,,,,,,,,,Viscosity,,,,6.2,Pa.s,at 50 1/s shear rate,,,,,,
